provider_id,provider_name,provider_type,specialty,state,network_status
PRV000058,Gateway Medical Clinic,Clinic,Multi-Specialty,PA,In-Network
PRV000059,Oak Valley Urgent Care,Urgent Care,Urgent Care,AK,In-Network
PRV000060,Riverside Medical Center,Hospital,General Acute Care,MI,In-Network
PRV000061,Westfield Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,MI,In-Network
PRV000062,Dr. Hayden Price,Physician,Primary Care,FL,In-Network
PRV000063,Dr. Emerson Price,Physician,Dermatology,TX,In-Network
PRV000064,Dr. Skyler Hayes,Physician,Orthopedics,AZ,In-Network
PRV000065,Dr. Rowan Ellis,Physician,Pediatrics,LA,In-Network
PRV000066,Oak Valley Medical Clinic,Clinic,Primary Care,NY,Out-of-Network
PRV000067,Heritage Medical Clinic,Clinic,Primary Care,CA,In-Network
PRV000068,Blue Ridge Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,IL,In-Network
PRV000069,Summit Urgent Care,Urgent Care,Urgent Care,NC,In-Network
PRV000070,Dr. Blake Carter,Physician,Pulmonology,NV,Out-of-Network
PRV000071,Dr. Blake Price,Physician,Cardiology,MD,In-Network
PRV000072,Dr. Parker Lewis,Physician,Primary Care,WI,In-Network
PRV000073,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,AR,Out-of-Network
PRV000074,Gateway Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,IN,In-Network
PRV000075,Lakeside Medical Clinic,Clinic,Women's Health,TX,In-Network
PRV000076,Cedar Grove Medical Clinic,Clinic,Primary Care,IN,In-Network
PRV000077,Northstar Urgent Care,Urgent Care,Urgent Care,TX,In-Network
PRV000078,Cedar Grove Medical Clinic,Clinic,Multi-Specialty,TX,In-Network
PRV000079,Evergreen Medical Clinic,Clinic,Pediatrics,OH,In-Network
PRV000080,Dr. Casey Nelson,Physician,Primary Care,TX,In-Network
PRV000081,Dr. Reese Nelson,Physician,Orthopedics,NM,In-Network
PRV000082,Dr. Hayden Adams,Physician,Orthopedics,MN,In-Network
PRV000083,Northstar Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,MD,In-Network
PRV000084,Northstar Medical Clinic,Clinic,Multi-Specialty,PA,In-Network
PRV000085,Lakeside Urgent Care,Urgent Care,Urgent Care,OR,In-Network
PRV000086,Dr. Blake Jordan,Physician,Pediatrics,NY,In-Network
PRV000087,Dr. Casey Owens,Physician,Cardiology,TX,In-Network
PRV000088,Heritage Medical Clinic,Clinic,Pediatrics,FL,Out-of-Network
PRV000089,Cedar Grove Medical Clinic,Clinic,Multi-Specialty,PA,In-Network
PRV000090,Dr. Hayden Grant,Physician,Pulmonology,FL,In-Network
PRV000091,Westfield Clinical Laboratory,Laboratory,Clinical Laboratory,NY,Out-of-Network
PRV000092,Dr. Morgan Price,Physician,Endocrinology,CT,In-Network
PRV000093,Gateway Medical Clinic,Clinic,Multi-Specialty,TN,In-Network
PRV000094,Dr. Taylor Price,Physician,Dermatology,CA,In-Network
PRV000095,Dr. Reese Davis,Physician,Cardiology,MO,In-Network
PRV000096,Summit Imaging Center,Imaging Center,Diagnostic Imaging,WI,In-Network
PRV000097,Heritage Medical Clinic,Clinic,Women's Health,TX,In-Network
PRV000098,Dr. Jordan King,Physician,Gastroenterology,CO,In-Network
PRV000099,Lakeside Medical Center,Hospital,General Acute Care,GA,In-Network
PRV000100,Cedar Grove Medical Center,Hospital,General Acute Care,MN,Out-of-Network
PRV000101,Dr. Avery Carter,Physician,Pediatrics,CA,In-Network
PRV000102,Oak Valley Clinical Laboratory,Laboratory,Clinical Laboratory,NY,In-Network
PRV000103,Evergreen Imaging Center,Imaging Center,Diagnostic Imaging,IA,In-Network
PRV000104,Dr. Rowan Davis,Physician,Endocrinology,OR,In-Network
PRV000105,Summit Medical Center,Hospital,General Acute Care,WI,In-Network
PRV000106,Dr. Riley Price,Physician,Neurology,MO,In-Network
PRV000107,Dr. Avery Price,Physician,Primary Care,HI,In-Network
PRV000108,Lakeside Medical Center,Hospital,General Acute Care,MO,In-Network
PRV000109,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,SC,Out-of-Network
PRV000110,Dr. Rowan Carter,Physician,OB/GYN,VA,Out-of-Network
PRV000111,Dr. Riley Davis,Physician,Orthopedics,NY,In-Network
PRV000112,Dr. Quinn Irwin,Physician,Neurology,VA,In-Network
PRV000113,Dr. Drew Davis,Physician,Orthopedics,TX,In-Network
PRV000114,Lakeside Medical Clinic,Clinic,Primary Care,AR,In-Network
PRV000115,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,CA,In-Network
PRV000116,Lakeside Medical Center,Hospital,General Acute Care,NV,In-Network
PRV000117,Summit Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,AR,In-Network
PRV000118,Gateway Medical Center,Hospital,General Acute Care,NY,In-Network
PRV000119,Dr. Quinn Nelson,Physician,Endocrinology,FL,In-Network
PRV000120,Gateway Imaging Center,Imaging Center,Diagnostic Imaging,TX,Out-of-Network
PRV000121,Blue Ridge Medical Clinic,Clinic,Multi-Specialty,WA,Out-of-Network
PRV000122,Dr. Cameron Morris,Physician,Neurology,GA,In-Network
PRV000123,Oak Valley Medical Clinic,Clinic,Women's Health,IN,Out-of-Network
PRV000124,Summit Medical Center,Hospital,General Acute Care,CA,In-Network
PRV000125,Summit Medical Clinic,Clinic,Pediatrics,TN,Out-of-Network
PRV000126,Dr. Jordan Adams,Physician,Pediatrics,FL,In-Network
PRV000127,Heritage Clinical Laboratory,Laboratory,Clinical Laboratory,CA,In-Network
PRV000128,Dr. Blake Carter,Physician,OB/GYN,TN,In-Network
PRV000129,Dr. Skyler Grant,Physician,Endocrinology,AL,Out-of-Network
PRV000130,Riverside Clinical Laboratory,Laboratory,Clinical Laboratory,WI,In-Network
PRV000131,Northstar Imaging Center,Imaging Center,Diagnostic Imaging,MA,In-Network
PRV000132,Westfield Medical Clinic,Clinic,Women's Health,CA,In-Network
PRV000133,Dr. Reese Foster,Physician,Pulmonology,AL,In-Network
PRV000134,Dr. Skyler Carter,Physician,Primary Care,MS,In-Network
PRV000135,Dr. Morgan Davis,Physician,OB/GYN,NC,In-Network
PRV000136,Dr. Taylor Morris,Physician,OB/GYN,WI,In-Network
PRV000137,Dr. Taylor Jordan,Physician,Dermatology,AR,In-Network
PRV000138,Riverside Urgent Care,Urgent Care,Urgent Care,KY,In-Network
PRV000139,Dr. Morgan Price,Physician,Pulmonology,UT,Out-of-Network
PRV000140,Dr. Riley Morris,Physician,Cardiology,OH,In-Network
PRV000141,Dr. Emerson Carter,Physician,Primary Care,AL,In-Network
PRV000142,Gateway Medical Clinic,Clinic,Pediatrics,OH,In-Network
PRV000143,Dr. Hayden Nelson,Physician,Primary Care,MN,In-Network
PRV000144,Dr. Skyler Jordan,Physician,OB/GYN,TX,In-Network
PRV000145,Blue Ridge Imaging Center,Imaging Center,Diagnostic Imaging,MI,In-Network
PRV000146,Summit Medical Clinic,Clinic,Multi-Specialty,CA,In-Network
PRV000147,Westfield Clinical Laboratory,Laboratory,Clinical Laboratory,GA,In-Network
PRV000148,Dr. Rowan Owens,Physician,Gastroenterology,NH,In-Network
PRV000149,Riverside Urgent Care,Urgent Care,Urgent Care,IL,Out-of-Network
PRV000150,Dr. Jordan Price,Physician,Neurology,FL,In-Network
PRV000151,Oak Valley Medical Clinic,Clinic,Pediatrics,CA,In-Network
PRV000152,Riverside Urgent Care,Urgent Care,Urgent Care,IN,In-Network
PRV000153,Dr. Quinn Owens,Physician,Endocrinology,LA,In-Network
PRV000154,Dr. Taylor Carter,Physician,Orthopedics,IA,In-Network
PRV000155,Northstar Medical Clinic,Clinic,Multi-Specialty,CA,In-Network
PRV000156,Dr. Riley Price,Physician,Pulmonology,TN,In-Network
PRV000157,Dr. Morgan Bennett,Physician,Orthopedics,WA,In-Network
PRV000158,Evergreen Medical Clinic,Clinic,Primary Care,IL,In-Network
PRV000159,Lakeside Urgent Care,Urgent Care,Urgent Care,LA,Out-of-Network
PRV000160,Pioneer Medical Clinic,Clinic,Pediatrics,IN,Out-of-Network
PRV000161,Gateway Urgent Care,Urgent Care,Urgent Care,PA,In-Network
PRV000162,Blue Ridge Imaging Center,Imaging Center,Diagnostic Imaging,VA,In-Network
PRV000163,Evergreen Imaging Center,Imaging Center,Diagnostic Imaging,ID,In-Network
PRV000164,Dr. Avery Morris,Physician,Dermatology,TX,In-Network
PRV000165,Dr. Skyler Jordan,Physician,Dermatology,FL,Out-of-Network
PRV000166,Pioneer Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,IN,In-Network
PRV000167,Dr. Parker Adams,Physician,Primary Care,GA,In-Network
PRV000168,Riverside Urgent Care,Urgent Care,Urgent Care,CA,In-Network
PRV000169,Dr. Jordan Davis,Physician,Cardiology,IL,In-Network
PRV000170,Dr. Blake King,Physician,Dermatology,NJ,In-Network
PRV000171,Dr. Rowan Hayes,Physician,Primary Care,AL,In-Network
PRV000172,Dr. Morgan Adams,Physician,Primary Care,FL,In-Network
PRV000173,Dr. Cameron Owens,Physician,OB/GYN,CA,Out-of-Network
PRV000174,Pioneer Imaging Center,Imaging Center,Diagnostic Imaging,GA,In-Network
PRV000175,Dr. Reese Morris,Physician,Gastroenterology,CA,Out-of-Network
PRV000176,Dr. Taylor Price,Physician,Orthopedics,IN,Out-of-Network
PRV000177,Dr. Jordan Ellis,Physician,OB/GYN,CA,In-Network
PRV000178,Dr. Morgan Carter,Physician,Primary Care,CO,In-Network
PRV000179,Westfield Medical Clinic,Clinic,Primary Care,NJ,Out-of-Network
PRV000180,Summit Medical Center,Hospital,General Acute Care,ID,Out-of-Network
PRV000181,Evergreen Medical Clinic,Clinic,Pediatrics,NC,In-Network
PRV000182,Dr. Avery Grant,Physician,OB/GYN,OR,In-Network
PRV000183,Lakeside Medical Center,Hospital,General Acute Care,MN,In-Network
PRV000184,Dr. Reese Bennett,Physician,Dermatology,AZ,In-Network
PRV000185,Dr. Cameron Morris,Physician,Primary Care,FL,In-Network
PRV000186,Dr. Hayden Hayes,Physician,Endocrinology,NY,Out-of-Network
PRV000187,Dr. Blake Jordan,Physician,Endocrinology,TN,In-Network
PRV000188,Dr. Parker Adams,Physician,Primary Care,PA,In-Network
PRV000189,Dr. Cameron Lewis,Physician,Neurology,AZ,In-Network
PRV000190,Dr. Parker Grant,Physician,OB/GYN,TX,In-Network
PRV000191,Dr. Cameron Irwin,Physician,Endocrinology,NY,In-Network
PRV000192,Lakeside Medical Clinic,Clinic,Primary Care,WA,In-Network
PRV000193,Blue Ridge Clinical Laboratory,Laboratory,Clinical Laboratory,PA,In-Network
PRV000194,Northstar Medical Clinic,Clinic,Primary Care,FL,In-Network
PRV000195,Cedar Grove Urgent Care,Urgent Care,Urgent Care,IL,In-Network
PRV000196,Lakeside Imaging Center,Imaging Center,Diagnostic Imaging,TX,In-Network
PRV000197,Dr. Rowan Adams,Physician,Pediatrics,WI,Out-of-Network
PRV000198,Dr. Reese Irwin,Physician,Cardiology,SC,Out-of-Network
PRV000199,Dr. Drew Adams,Physician,OB/GYN,TX,Out-of-Network
PRV000200,Westfield Urgent Care,Urgent Care,Urgent Care,LA,In-Network
PRV000201,Northstar Medical Clinic,Clinic,Multi-Specialty,GA,In-Network
PRV000202,Dr. Casey Grant,Physician,OB/GYN,SC,In-Network
PRV000203,Oak Valley Medical Center,Hospital,General Acute Care,AL,In-Network
PRV000204,Dr. Blake Hayes,Physician,Dermatology,IL,In-Network
PRV000205,Cedar Grove Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,TX,Out-of-Network
PRV000206,Summit Medical Center,Hospital,General Acute Care,NY,In-Network
PRV000207,Dr. Rowan Lewis,Physician,Cardiology,TX,In-Network
PRV000208,Cedar Grove Medical Clinic,Clinic,Women's Health,CA,In-Network
PRV000209,Northstar Medical Clinic,Clinic,Women's Health,VA,In-Network
PRV000210,Dr. Jordan Foster,Physician,Pulmonology,NV,In-Network
PRV000211,Dr. Hayden Davis,Physician,Pulmonology,TX,In-Network
PRV000212,Dr. Drew Jordan,Physician,Pediatrics,CA,In-Network
PRV000213,Riverside Medical Clinic,Clinic,Pediatrics,GA,Out-of-Network
PRV000214,Westfield Imaging Center,Imaging Center,Diagnostic Imaging,TX,In-Network
PRV000215,Dr. Drew Owens,Physician,Neurology,GA,In-Network
PRV000216,Dr. Drew Jordan,Physician,Primary Care,AL,In-Network
PRV000217,Blue Ridge Medical Clinic,Clinic,Pediatrics,NY,In-Network
PRV000218,Dr. Rowan Nelson,Physician,Dermatology,TX,In-Network
PRV000219,Dr. Avery Grant,Physician,Gastroenterology,AK,Out-of-Network
PRV000220,Dr. Jordan Grant,Physician,Pediatrics,GA,In-Network
PRV000221,Dr. Quinn Davis,Physician,Primary Care,GA,In-Network
PRV000222,Lakeside Urgent Care,Urgent Care,Urgent Care,NM,In-Network
PRV000223,Dr. Emerson Morris,Physician,Pulmonology,MO,In-Network
PRV000224,Blue Ridge Medical Center,Hospital,General Acute Care,GA,In-Network
PRV000225,Dr. Taylor Jordan,Physician,Orthopedics,MO,In-Network
PRV000226,Dr. Blake Davis,Physician,Orthopedics,KY,In-Network
PRV000227,Summit Urgent Care,Urgent Care,Urgent Care,OH,In-Network
PRV000228,Dr. Avery King,Physician,OB/GYN,CA,In-Network
PRV000229,Oak Valley Medical Center,Hospital,General Acute Care,WI,In-Network
PRV000230,Dr. Hayden Carter,Physician,OB/GYN,DE,In-Network
PRV000231,Dr. Riley Ellis,Physician,Dermatology,PA,In-Network
PRV000232,Riverside Clinical Laboratory,Laboratory,Clinical Laboratory,NJ,In-Network
PRV000233,Dr. Emerson Owens,Physician,Dermatology,TX,In-Network
PRV000234,Dr. Taylor Hayes,Physician,OB/GYN,NY,In-Network
PRV000235,Dr. Blake Ellis,Physician,Neurology,AL,In-Network
PRV000236,Dr. Avery Grant,Physician,Endocrinology,TX,Out-of-Network
PRV000237,Dr. Hayden Hayes,Physician,Gastroenterology,FL,In-Network
PRV000238,Blue Ridge Medical Clinic,Clinic,Primary Care,CA,In-Network
PRV000239,Dr. Reese Foster,Physician,Gastroenterology,WA,In-Network
PRV000240,Dr. Avery Hayes,Physician,Pediatrics,CA,In-Network
PRV000241,Dr. Morgan Carter,Physician,Pediatrics,IN,In-Network
PRV000242,Pioneer Imaging Center,Imaging Center,Diagnostic Imaging,IL,Out-of-Network
PRV000243,Blue Ridge Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,GA,In-Network
PRV000244,Dr. Riley Morris,Physician,OB/GYN,CA,Out-of-Network
PRV000245,Northstar Urgent Care,Urgent Care,Urgent Care,MT,In-Network
PRV000246,Dr. Cameron Irwin,Physician,Orthopedics,NY,In-Network
PRV000247,Dr. Casey Grant,Physician,Pulmonology,UT,In-Network
PRV000248,Dr. Hayden Foster,Physician,Primary Care,WI,In-Network
PRV000249,Dr. Reese Hayes,Physician,Pulmonology,CA,Out-of-Network
PRV000250,Dr. Quinn Jordan,Physician,Gastroenterology,IL,In-Network
PRV000251,Dr. Riley Foster,Physician,Endocrinology,GA,In-Network
PRV000252,Dr. Jordan Morris,Physician,Neurology,NJ,In-Network
PRV000253,Dr. Morgan Carter,Physician,Neurology,NJ,Out-of-Network
PRV000254,Dr. Taylor Irwin,Physician,Cardiology,MI,In-Network
PRV000255,Dr. Skyler Irwin,Physician,Primary Care,SC,In-Network
PRV000256,Evergreen Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,IN,In-Network
PRV000257,Dr. Hayden Morris,Physician,Dermatology,CA,In-Network
PRV000258,Dr. Drew Grant,Physician,Orthopedics,PA,In-Network
PRV000259,Riverside Medical Clinic,Clinic,Multi-Specialty,NE,In-Network
PRV000260,Evergreen Medical Clinic,Clinic,Multi-Specialty,MO,In-Network
PRV000261,Heritage Medical Clinic,Clinic,Pediatrics,HI,Out-of-Network
PRV000262,Evergreen Medical Center,Hospital,General Acute Care,OR,Out-of-Network
PRV000263,Dr. Quinn Carter,Physician,Pediatrics,TN,In-Network
PRV000264,Dr. Emerson Nelson,Physician,Gastroenterology,CA,In-Network
PRV000265,Oak Valley Clinical Laboratory,Laboratory,Clinical Laboratory,AL,In-Network
PRV000266,Riverside Medical Clinic,Clinic,Primary Care,FL,In-Network
PRV000267,Dr. Reese Price,Physician,Endocrinology,UT,In-Network
PRV000268,Dr. Blake Owens,Physician,Neurology,CA,Out-of-Network
PRV000269,Dr. Skyler Adams,Physician,OB/GYN,MD,In-Network
PRV000270,Pioneer Medical Clinic,Clinic,Multi-Specialty,TX,In-Network
PRV000271,Evergreen Imaging Center,Imaging Center,Diagnostic Imaging,CA,In-Network
PRV000272,Dr. Blake Irwin,Physician,Cardiology,TX,Out-of-Network
PRV000273,Evergreen Medical Center,Hospital,General Acute Care,OK,In-Network
PRV000274,Evergreen Clinical Laboratory,Laboratory,Clinical Laboratory,NH,In-Network
PRV000275,Dr. Parker Owens,Physician,Pulmonology,GA,Out-of-Network
PRV000276,Heritage Medical Center,Hospital,General Acute Care,PA,In-Network
PRV000277,Dr. Reese Morris,Physician,Pediatrics,PA,In-Network
PRV000278,Dr. Taylor Bennett,Physician,Neurology,OH,In-Network
PRV000279,Dr. Casey Hayes,Physician,Endocrinology,NE,In-Network
PRV000280,Dr. Hayden Nelson,Physician,Orthopedics,GA,In-Network
PRV000281,Dr. Avery Hayes,Physician,Orthopedics,CA,In-Network
PRV000282,Blue Ridge Medical Center,Hospital,General Acute Care,CA,In-Network
PRV000283,Riverside Medical Clinic,Clinic,Primary Care,UT,In-Network
PRV000284,Summit Medical Center,Hospital,General Acute Care,CA,In-Network
PRV000285,Dr. Jordan Irwin,Physician,Gastroenterology,IL,Out-of-Network
PRV000286,Dr. Reese Owens,Physician,OB/GYN,LA,Out-of-Network
PRV000287,Dr. Emerson Irwin,Physician,Endocrinology,CA,In-Network
PRV000288,Dr. Rowan Davis,Physician,Gastroenterology,CA,In-Network
PRV000289,Blue Ridge Medical Center,Hospital,General Acute Care,TX,In-Network
PRV000290,Northstar Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,TX,In-Network
PRV000291,Dr. Drew Carter,Physician,Neurology,TX,Out-of-Network
PRV000292,Dr. Hayden King,Physician,Dermatology,NY,In-Network
PRV000293,Dr. Riley Lewis,Physician,Cardiology,IL,Out-of-Network
PRV000294,Dr. Parker Jordan,Physician,OB/GYN,NY,In-Network
PRV000295,Dr. Cameron King,Physician,OB/GYN,UT,In-Network
PRV000296,Pioneer Medical Center,Hospital,General Acute Care,TN,In-Network
PRV000297,Dr. Cameron Lewis,Physician,Endocrinology,FL,In-Network
PRV000298,Dr. Hayden Foster,Physician,Pulmonology,GA,In-Network
PRV000299,Lakeside Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,CT,Out-of-Network
PRV000300,Westfield Clinical Laboratory,Laboratory,Clinical Laboratory,HI,In-Network
PRV000301,Dr. Quinn Grant,Physician,Primary Care,CA,In-Network
PRV000302,Dr. Casey Ellis,Physician,Dermatology,KY,In-Network
PRV000303,Summit Imaging Center,Imaging Center,Diagnostic Imaging,OH,In-Network
PRV000304,Lakeside Medical Center,Hospital,General Acute Care,AL,Out-of-Network
PRV000305,Northstar Clinical Laboratory,Laboratory,Clinical Laboratory,NC,Out-of-Network
PRV000306,Gateway Urgent Care,Urgent Care,Urgent Care,NJ,In-Network
PRV000307,Dr. Emerson Ellis,Physician,Gastroenterology,LA,In-Network
PRV000308,Dr. Reese Nelson,Physician,Endocrinology,MS,In-Network
PRV000309,Heritage Medical Center,Hospital,General Acute Care,GA,In-Network
PRV000310,Blue Ridge Medical Center,Hospital,General Acute Care,FL,In-Network
PRV000311,Lakeside Medical Clinic,Clinic,Women's Health,ND,Out-of-Network
PRV000312,Dr. Reese Foster,Physician,Orthopedics,PA,In-Network
PRV000313,Pioneer Imaging Center,Imaging Center,Diagnostic Imaging,NM,In-Network
PRV000314,Dr. Drew Carter,Physician,Endocrinology,MA,In-Network
PRV000315,Dr. Morgan Carter,Physician,Primary Care,NV,In-Network
PRV000316,Lakeside Medical Clinic,Clinic,Multi-Specialty,FL,Out-of-Network
PRV000317,Oak Valley Medical Clinic,Clinic,Primary Care,WV,In-Network
PRV000318,Cedar Grove Medical Clinic,Clinic,Pediatrics,CA,Out-of-Network
PRV000319,Summit Medical Center,Hospital,General Acute Care,NY,In-Network
PRV000320,Dr. Skyler Morris,Physician,Pediatrics,WA,In-Network
PRV000321,Cedar Grove Clinical Laboratory,Laboratory,Clinical Laboratory,MA,In-Network
PRV000322,Lakeside Medical Center,Hospital,General Acute Care,MD,In-Network
PRV000323,Dr. Morgan Foster,Physician,Cardiology,TN,In-Network
PRV000324,Gateway Medical Clinic,Clinic,Multi-Specialty,CA,In-Network
PRV000325,Oak Valley Clinical Laboratory,Laboratory,Clinical Laboratory,FL,Out-of-Network
PRV000326,Dr. Emerson Hayes,Physician,Neurology,TX,In-Network
PRV000327,Cedar Grove Medical Clinic,Clinic,Multi-Specialty,CA,In-Network
PRV000328,Oak Valley Medical Center,Hospital,General Acute Care,NC,Out-of-Network
PRV000329,Westfield Urgent Care,Urgent Care,Urgent Care,NC,Out-of-Network
PRV000330,Dr. Hayden Jordan,Physician,Gastroenterology,VA,In-Network
PRV000331,Lakeside Medical Clinic,Clinic,Multi-Specialty,MN,In-Network
PRV000332,Dr. Morgan Ellis,Physician,OB/GYN,FL,In-Network
PRV000333,Dr. Drew Grant,Physician,Pulmonology,NJ,In-Network
PRV000334,Dr. Reese King,Physician,Dermatology,OR,In-Network
PRV000335,Dr. Riley Foster,Physician,OB/GYN,OH,Out-of-Network
PRV000336,Dr. Emerson Irwin,Physician,Orthopedics,OR,In-Network
PRV000337,Dr. Reese Nelson,Physician,Gastroenterology,OR,Out-of-Network
PRV000338,Dr. Blake Carter,Physician,Pulmonology,PA,In-Network
PRV000339,Dr. Jordan Owens,Physician,OB/GYN,NJ,In-Network
PRV000340,Cedar Grove Medical Clinic,Clinic,Primary Care,OH,In-Network
PRV000341,Cedar Grove Clinical Laboratory,Laboratory,Clinical Laboratory,IN,In-Network
PRV000342,Northstar Medical Clinic,Clinic,Primary Care,DE,In-Network
PRV000343,Dr. Reese Adams,Physician,OB/GYN,MS,In-Network
PRV000344,Dr. Quinn Foster,Physician,Primary Care,GA,Out-of-Network
PRV000345,Dr. Drew Jordan,Physician,Gastroenterology,PA,In-Network
PRV000346,Dr. Blake Morris,Physician,Cardiology,CA,In-Network
PRV000347,Dr. Taylor Ellis,Physician,Pulmonology,IL,In-Network
PRV000348,Dr. Taylor Grant,Physician,Neurology,MO,In-Network
PRV000349,Heritage Surgery Center,Ambulatory Surgical Center,Ambulatory Surgery,FL,Out-of-Network
PRV000350,Dr. Jordan King,Physician,Dermatology,TX,Out-of-Network
PRV000351,Lakeside Medical Clinic,Clinic,Women's Health,CA,In-Network
PRV000352,Riverside Medical Clinic,Clinic,Multi-Specialty,IL,In-Network
PRV000353,Dr. Rowan Carter,Physician,Cardiology,VA,In-Network
PRV000354,Northstar Medical Clinic,Clinic,Primary Care,MI,In-Network
PRV000355,Blue Ridge Medical Center,Hospital,General Acute Care,CA,In-Network
PRV000356,Lakeside Medical Center,Hospital,General Acute Care,FL,In-Network
PRV000357,Dr. Avery Carter,Physician,Pulmonology,OH,In-Network
